192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:autocomplete/jira.webresources:autocomplete.js HTTP/1.1" 200 11435
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/0c5e7128d282297e5987bb004a0f2488-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:user-pickers/jira.webresources:user-pickers.js?locale=ru-RU HTTP/1.1" 200 2750
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/8.0.13/_/download/batch/com.atlassian.jira.jira-issue-nav-components:underscore/com.atlassian.jira.jira-issue-nav-components:underscore.js HTTP/1.1" 200 208
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/0.7.0/_/download/batch/com.atlassian.plugin.jslibs:marionette-1.4.1-factory/com.atlassian.plugin.jslibs:marionette-1.4.1-factory.js HTTP/1.1" 200 19256
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/0.7.0/_/download/batch/com.atlassian.plugin.jslibs:underscore-1.5.2/com.atlassian.plugin.jslibs:underscore-1.5.2.js HTTP/1.1" 200 12528
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/0.7.0/_/download/batch/com.atlassian.plugin.jslibs:backbone-1.0.0-factory/com.atlassian.plugin.jslibs:backbone-1.0.0-factory.js HTTP/1.1" 200 17373
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/42e39823ff42a3e4375b3ad69050532c-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:viewissue-watchers-and-voters/jira.webresources:viewissue-watchers-and-voters.js?locale=ru-RU HTTP/1.1" 200 7678
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/8.0.13/_/download/batch/com.atlassian.jira.jira-issue-nav-components:backbone/com.atlassian.jira.jira-issue-nav-components:backbone.js HTTP/1.1" 200 249
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/8.0.13/_/download/batch/com.atlassian.jira.jira-issue-nav-components:lib/com.atlassian.jira.jira-issue-nav-components:lib.js HTTP/1.1" 200 174
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/0.7.0/_/download/batch/com.atlassian.plugin.jslibs:brace-2014.09.03-factory/com.atlassian.plugin.jslibs:brace-2014.09.03-factory.js HTTP/1.1" 200 5943
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/8.0.13/_/download/batch/com.atlassian.jira.jira-issue-nav-components:marionette-1.4.1/com.atlassian.jira.jira-issue-nav-components:marionette-1.4.1.js HTTP/1.1" 200 8096
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/42e39823ff42a3e4375b3ad69050532c-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:viewissue/jira.webresources:viewissue.js?locale=ru-RU HTTP/1.1" 200 14726
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/8.0.13/_/download/batch/com.atlassian.jira.jira-issue-nav-components:brace/com.atlassian.jira.jira-issue-nav-components:brace.js HTTP/1.1" 200 299
192.168.0.68 - - [06/Aug/2016:11:02:41 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/8.0.13/_/download/batch/com.atlassian.jira.jira-issue-nav-components:jqueryutils/com.atlassian.jira.jira-issue-nav-components:jqueryutils.js HTTP/1.1" 200 1781
